dataset,binvar,bin,model,model_auroc,comp_auroc,n,n_pos
TraitGym-mendelian,abs_dGC,2,CADD,0.86886049575635,0.6134448631920826,845,86
TraitGym-mendelian,abs_dGC,2,phyloP,0.8229463492355302,0.6134448631920826,845,86
TraitGym-mendelian,abs_dGC,3,GPN-MSA,0.933081240161522,0.5545992745191979,845,76
TraitGym-mendelian,abs_dGC,3,Evo2-7B,0.7336681267538157,0.5545992745191979,845,76
TraitGym-mendelian,abs_dGC,3,Evo2-40B,0.8836150845253575,0.5545992745191979,845,76
TraitGym-mendelian,abs_dGC,3,NT-2.5B,0.5103004585586203,0.5545992745191979,845,76
TraitGym-mendelian,abs_dGC,3,Caduceus,0.5319023338580522,0.5545992745191979,845,76
TraitGym-mendelian,abs_dGC,3,CADD,0.925775100951338,0.5545992745191979,845,76
TraitGym-mendelian,abs_dGC,3,phyloP,0.9213862843063444,0.5545992745191979,845,76
TraitGym-mendelian,mu_5mer,0,GPN-MSA,0.9017918047164296,0.524788053011109,845,112
TraitGym-mendelian,mu_5mer,0,Evo2-7B,0.7263934905476515,0.524788053011109,845,112
TraitGym-mendelian,mu_5mer,0,Evo2-40B,0.8533728805301111,0.524788053011109,845,112
TraitGym-mendelian,mu_5mer,0,NT-2.5B,0.5447707561878776,0.524788053011109,845,112
TraitGym-mendelian,mu_5mer,0,Caduceus,0.5027224225297213,0.524788053011109,845,112
TraitGym-mendelian,mu_5mer,0,CADD,0.8659496199571234,0.524788053011109,845,112
TraitGym-mendelian,mu_5mer,0,phyloP,0.8447001071915806,0.524788053011109,845,112
TraitGym-mendelian,mu_5mer,1,GPN-MSA,0.9364465736963603,0.6381115011226007,845,83
TraitGym-mendelian,mu_5mer,1,Evo2-7B,0.7313585048856845,0.6381115011226007,845,83
TraitGym-mendelian,mu_5mer,1,Evo2-40B,0.8834867027163774,0.6381115011226007,845,83
TraitGym-mendelian,mu_5mer,1,NT-2.5B,0.5944012269550644,0.6381115011226007,845,83
TraitGym-mendelian,mu_5mer,1,Caduceus,0.5957689023811783,0.6381115011226007,845,83
TraitGym-mendelian,mu_5mer,1,CADD,0.916310912943111,0.6381115011226007,845,83
TraitGym-mendelian,mu_5mer,1,phyloP,0.8901195332511147,0.6381115011226007,845,83
TraitGym-mendelian,mu_5mer,2,GPN-MSA,0.887073593073593,0.6067445887445888,845,75
TraitGym-mendelian,mu_5mer,2,Evo2-7B,0.6197575757575758,0.6067445887445888,845,75
TraitGym-mendelian,mu_5mer,2,Evo2-40B,0.8139134199134198,0.6067445887445888,845,75
TraitGym-mendelian,mu_5mer,2,NT-2.5B,0.5700865800865801,0.6067445887445888,845,75
TraitGym-mendelian,mu_5mer,2,Caduceus,0.6132294372294373,0.6067445887445888,845,75
TraitGym-mendelian,mu_5mer,2,CADD,0.8904242424242425,0.6067445887445888,845,75
TraitGym-mendelian,mu_5mer,2,phyloP,0.8593852813852814,0.6067445887445888,845,75
TraitGym-mendelian,mu_5mer,3,GPN-MSA,0.8838765235824059,0.5400200620788855,845,68
TraitGym-mendelian,mu_5mer,3,Evo2-7B,0.7363445378151259,0.5400200620788855,845,68
TraitGym-mendelian,mu_5mer,3,Evo2-40B,0.8255640093875388,0.5400200620788855,845,68
TraitGym-mendelian,mu_5mer,3,NT-2.5B,0.5403134226663638,0.5400200620788855,845,68
TraitGym-mendelian,mu_5mer,3,Caduceus,0.5320898629722158,0.5400200620788855,845,68
TraitGym-mendelian,mu_5mer,3,CADD,0.9116132939662351,0.5400200620788855,845,68
TraitGym-mendelian,mu_5mer,3,phyloP,0.8384624119918238,0.5400200620788855,845,68
