arm,n_pos,n_neg,comp_auroc,gpn_auroc,recovery
ClinVar-benign,25571,127935,0.719825336658173,0.9583176498189174,0.47963532878349036
gnomAD-common,25571,67250,0.7770781256200475,0.9884975607124059,0.5672047271146401
