dataset,feature,n_gwin,n_cwin,gwin_frac,cwin_frac,odds_ratio
TraitGym-mendelian,splice(>0.2),114,13,0.0,0.0,0.11790393013100436
TraitGym-mendelian,TFmotif,114,13,0.9824561403508771,0.9230769230769231,5.4
TraitGym-mendelian,comp_neutral,114,13,0.14912280701754385,0.07692307692307693,1.4957264957264957
TraitGym-complex,splice(>0.2),222,151,0.009009009009009009,0.006622516556291391,1.1375661375661377
TraitGym-complex,TFmotif,222,151,0.8918918918918919,0.7814569536423841,2.290450357358133
TraitGym-complex,comp_neutral,222,151,0.15765765765765766,0.25165562913907286,0.5581645021645022
