dataset,auroc,auprc,n
TraitGym-mendelian,0.5160640578255508,0.0987976902603979,3380
TraitGym-complex,0.5366913751239698,0.11297012760282073,11400
ClinVar,0.5609837215041474,0.19698466180347515,45000
